
1.2871	152564226109641654
1.2935	152564226203810623
1.0903	152564226209641638
1.0742	152564226303810611
1.2645	152564226309641671
1.2710	152564226403810621
1.1161	152564226409641701
1.0968	152564226503810639
1.2355	152564226509641659
1.2452	152564226603810612
1.1452	152564226609641684
1.1258	152564226703810640
1.2032	152564226709641650
1.2161	152564226803810635
1.1774	152564226809641646
1.0935	152564226807815927
1.1710	152564226909641653
1.0710	152564226905145559
1.2097	152564227009641690
1.1903	152564227103810834
1.1387	152564227109641649
1.1097	152564227107398768
1.2419	152564227209641660
1.2613	152564227208234525
1.1097	152564227309641648
1.1194	152564227403810615
1.2710	152564227409641637
1.2516	152564227503810619
1.0839	152564227509641660
1.0903	152564227603810687
1.2903	152564227609641657
1.2774	152564227703810610
1.0645	152564227709641650
1.0710	152564227803810606
1.3032	152564227809641641
1.2935	152564227903810596
1.0677	152564227909641694
1.0581	152564228003810666
1.2871	152564228009641636
1.2903	152564228103810638
1.0871	152564228109641675
1.0710	152564228203810626
1.2645	152564228209641943
1.2710	152564228303810633
1.1129	152564228309641641
1.0935	152564228403810627
1.2355	152564228409641650
1.2452	152564228503810635
1.1419	152564228509641638
1.1226	152564228603810644
1.2065	152564228609641645
1.2161	152564228703810646
1.1742	152564228709641649
1.1516	152564228803810634
1.1742	152564228809641664
1.1871	152564228903810637
1.2065	152564228909641708
1.1839	152564229003810657
1.1419	152564229009641647
1.1548	152564229103810640
1.2355	152564229109641655
1.2129	152564229203810615
1.1129	152564229209641696
1.1258	152564229303810645
1.2645	152564229309641650
1.2452	152564229403810624
1.0871	152564229409641631
1.0968	152564229503810633
1.2871	152564229509641716
1.2710	152564229603810606
1.0677	152564229609641638
1.0742	152564229703810610
1.3032	152564229709641643
1.2903	152564229803810606
1.0645	152564229809641654
1.0581	152564229903810670
1.2903	152564229909641638
1.2935	152564230003810606
1.0806	152564230009641631
1.0677	152564230103810611
